ID,Téma,Kérdés,A,B,C,D,Helyes
23,AI Filozófia,Mi az AI filozófiájának központi kérdése?,Meg lehet-e érteni a világot?,Melyik GPU a legjobb?,Hogyan írjunk kódot?,Mi a legjobb könyv az AI-ról?,A
24,AI Filozófia,Mi az analitikus világkép egyik alapelve?,A részekből építkezés,Egész rendszerek működésének vizsgálata,Emergens viselkedések hangsúlyozása,Kontekstusfüggetlenség,A
25,AI Filozófia,Mi a tudományos világkép sarokköve?,Matematika használata,Önképződés,Kreatív művészet,Önigazítás hiánya,A
26,AI Filozófia,Melyik jellemző NEM tartozik az analitikus világképhez?,Occam-borotva,A jelenség részekre bontása,Emergens tulajdonságok hangsúlyozása,Matematika alkalmazása,C
27,AI Filozófia,Kahneman System I logikája jellemzően:,"gyors, intuitív döntéshozatal","lassú, tudatos érvelés",reflexív önellenőrzés,hosszú láncú gondolkodás,A
28,AI Filozófia,Mi az AI filozófiájának központi kérdése?,Meg lehet-e érteni a világot?,Melyik GPU a legjobb?,Hogyan írjunk kódot?,Mi a legjobb könyv az AI-ról?,A
29,AI Filozófia,Mi az analitikus világkép egyik alapelve?,A részekből építkezés,Egész rendszerek működésének vizsgálata,Emergens viselkedések hangsúlyozása,Kontekstusfüggetlenség,A
30,AI Filozófia,Mi a tudományos világkép sarokköve?,Matematika használata,Önképződés,Kreatív művészet,Önigazítás hiánya,A
31,AI Filozófia,Melyik jellemző NEM tartozik az analitikus világképhez?,Occam-borotva,A jelenség részekre bontása,Emergens tulajdonságok hangsúlyozása,Matematika alkalmazása,C
32,AI Filozófia,Kahneman System I logikája jellemzően:,"gyors, intuitív döntéshozatal","lassú, tudatos érvelés",reflexív önellenőrzés,hosszú láncú gondolkodás,A
33,AI Filozófia,Mi az AI filozófiájának központi kérdése?,Meg lehet-e érteni a világot?,Melyik GPU a legjobb?,Hogyan írjunk kódot?,Mi a legjobb könyv az AI-ról?,A
34,AI Filozófia,Mi az analitikus világkép egyik alapelve?,A részekből építkezés,Egész rendszerek működésének vizsgálata,Emergens viselkedések hangsúlyozása,Kontekstusfüggetlenség,A
35,AI Filozófia,Mi a tudományos világkép sarokköve?,Matematika használata,Önképződés,Kreatív művészet,Önigazítás hiánya,A
36,AI Filozófia,Melyik jellemző NEM tartozik az analitikus világképhez?,Occam-borotva,A jelenség részekre bontása,Emergens tulajdonságok hangsúlyozása,Matematika alkalmazása,C
37,AI Filozófia,Kahneman System I logikája jellemzően:,"gyors, intuitív döntéshozatal","lassú, tudatos érvelés",reflexív önellenőrzés,hosszú láncú gondolkodás,A
38,AI Filozófia,Mi az AI filozófiájának központi kérdése?,Meg lehet-e érteni a világot?,Melyik GPU a legjobb?,Hogyan írjunk kódot?,Mi a legjobb könyv az AI-ról?,A
39,AI Filozófia,Mi az analitikus világkép egyik alapelve?,A részekből építkezés,Egész rendszerek működésének vizsgálata,Emergens viselkedések hangsúlyozása,Kontekstusfüggetlenség,A
40,AI Filozófia,Mi a tudományos világkép sarokköve?,Matematika használata,Önképződés,Kreatív művészet,Önigazítás hiánya,A
41,AI Filozófia,Melyik jellemző NEM tartozik az analitikus világképhez?,Occam-borotva,A jelenség részekre bontása,Emergens tulajdonságok hangsúlyozása,Matematika alkalmazása,C
42,AI Filozófia,Kahneman System I logikája jellemzően:,"gyors, intuitív döntéshozatal","lassú, tudatos érvelés",reflexív önellenőrzés,hosszú láncú gondolkodás,A
43,AI Filozófia,Mi az AI filozófiájának központi kérdése?,Meg lehet-e érteni a világot?,Melyik GPU a legjobb?,Hogyan írjunk kódot?,Mi a legjobb könyv az AI-ról?,A
44,AI Filozófia,Mi az analitikus világkép egyik alapelve?,A részekből építkezés,Egész rendszerek működésének vizsgálata,Emergens viselkedések hangsúlyozása,Kontekstusfüggetlenség,A
45,AI Filozófia,Mi a tudományos világkép sarokköve?,Matematika használata,Önképződés,Kreatív művészet,Önigazítás hiánya,A
46,AI Filozófia,Melyik jellemző NEM tartozik az analitikus világképhez?,Occam-borotva,A jelenség részekre bontása,Emergens tulajdonságok hangsúlyozása,Matematika alkalmazása,C
47,AI Filozófia,Kahneman System I logikája jellemzően:,"gyors, intuitív döntéshozatal","lassú, tudatos érvelés",reflexív önellenőrzés,hosszú láncú gondolkodás,A
48,AI Filozófia,Mi az AI filozófiájának központi kérdése?,Meg lehet-e érteni a világot?,Melyik GPU a legjobb?,Hogyan írjunk kódot?,Mi a legjobb könyv az AI-ról?,A
49,AI Filozófia,Mi az analitikus világkép egyik alapelve?,A részekből építkezés,Egész rendszerek működésének vizsgálata,Emergens viselkedések hangsúlyozása,Kontekstusfüggetlenség,A
50,AI Filozófia,Mi a tudományos világkép sarokköve?,Matematika használata,Önképződés,Kreatív művészet,Önigazítás hiánya,A
51,Matematikai Alapok,Mit mér a Kullback–Leibler divergencia?,Két eloszlás közti eltérést,Adatok közti euklideszi távolságot,Mátrixinverzió pontosságát,Gradiens nagyságát,A
52,Matematikai Alapok,Melyik NEM igaz a centrális határeloszlás tételre?,Korlátozott adatmennyiségnél is mindig működik,Nagy mintáknál normális eloszlást eredményez,Független véletlen változók összegére vonatkozik,Statikus eloszlás,A
53,Matematikai Alapok,Melyik loss függvény tipikus regresszióhoz?,L2-távolság,Cross-entropy,Hinge-loss,Kullback–Leibler divergencia,A
54,Matematikai Alapok,Mit állít a Bayes-tétel?,Posterior a priori és likelihood alapján,Gradient descent szabályát,Decision tree impurity-t,Ridge regularizációt,A
55,Matematikai Alapok,Melyik állítás igaz a maximum likelihood módszerre?,A paraméterértékeknél a likelihood maximumát keresi,Mindig globális minimumot talál,Nem használ veszteségfüggvényt,Kizárólag linerális modellekre igaz,A
56,Matematikai Alapok,Mit mér a Kullback–Leibler divergencia?,Két eloszlás közti eltérést,Adatok közti euklideszi távolságot,Mátrixinverzió pontosságát,Gradiens nagyságát,A
57,Matematikai Alapok,Melyik NEM igaz a centrális határeloszlás tételre?,Korlátozott adatmennyiségnél is mindig működik,Nagy mintáknál normális eloszlást eredményez,Független véletlen változók összegére vonatkozik,Statikus eloszlás,A
58,Matematikai Alapok,Melyik loss függvény tipikus regresszióhoz?,L2-távolság,Cross-entropy,Hinge-loss,Kullback–Leibler divergencia,A
59,Matematikai Alapok,Mit állít a Bayes-tétel?,Posterior a priori és likelihood alapján,Gradient descent szabályát,Decision tree impurity-t,Ridge regularizációt,A
60,Matematikai Alapok,Melyik állítás igaz a maximum likelihood módszerre?,A paraméterértékeknél a likelihood maximumát keresi,Mindig globális minimumot talál,Nem használ veszteségfüggvényt,Kizárólag linerális modellekre igaz,A
61,Matematikai Alapok,Mit mér a Kullback–Leibler divergencia?,Két eloszlás közti eltérést,Adatok közti euklideszi távolságot,Mátrixinverzió pontosságát,Gradiens nagyságát,A
62,Matematikai Alapok,Melyik NEM igaz a centrális határeloszlás tételre?,Korlátozott adatmennyiségnél is mindig működik,Nagy mintáknál normális eloszlást eredményez,Független véletlen változók összegére vonatkozik,Statikus eloszlás,A
63,Matematikai Alapok,Melyik loss függvény tipikus regresszióhoz?,L2-távolság,Cross-entropy,Hinge-loss,Kullback–Leibler divergencia,A
64,Matematikai Alapok,Mit állít a Bayes-tétel?,Posterior a priori és likelihood alapján,Gradient descent szabályát,Decision tree impurity-t,Ridge regularizációt,A
65,Matematikai Alapok,Melyik állítás igaz a maximum likelihood módszerre?,A paraméterértékeknél a likelihood maximumát keresi,Mindig globális minimumot talál,Nem használ veszteségfüggvényt,Kizárólag linerális modellekre igaz,A
66,Matematikai Alapok,Mit mér a Kullback–Leibler divergencia?,Két eloszlás közti eltérést,Adatok közti euklideszi távolságot,Mátrixinverzió pontosságát,Gradiens nagyságát,A
67,Matematikai Alapok,Melyik NEM igaz a centrális határeloszlás tételre?,Korlátozott adatmennyiségnél is mindig működik,Nagy mintáknál normális eloszlást eredményez,Független véletlen változók összegére vonatkozik,Statikus eloszlás,A
68,Matematikai Alapok,Melyik loss függvény tipikus regresszióhoz?,L2-távolság,Cross-entropy,Hinge-loss,Kullback–Leibler divergencia,A
69,Matematikai Alapok,Mit állít a Bayes-tétel?,Posterior a priori és likelihood alapján,Gradient descent szabályát,Decision tree impurity-t,Ridge regularizációt,A
70,Matematikai Alapok,Melyik állítás igaz a maximum likelihood módszerre?,A paraméterértékeknél a likelihood maximumát keresi,Mindig globális minimumot talál,Nem használ veszteségfüggvényt,Kizárólag linerális modellekre igaz,A
71,Matematikai Alapok,Mit mér a Kullback–Leibler divergencia?,Két eloszlás közti eltérést,Adatok közti euklideszi távolságot,Mátrixinverzió pontosságát,Gradiens nagyságát,A
72,Matematikai Alapok,Melyik NEM igaz a centrális határeloszlás tételre?,Korlátozott adatmennyiségnél is mindig működik,Nagy mintáknál normális eloszlást eredményez,Független véletlen változók összegére vonatkozik,Statikus eloszlás,A
73,Matematikai Alapok,Melyik loss függvény tipikus regresszióhoz?,L2-távolság,Cross-entropy,Hinge-loss,Kullback–Leibler divergencia,A
74,Matematikai Alapok,Mit állít a Bayes-tétel?,Posterior a priori és likelihood alapján,Gradient descent szabályát,Decision tree impurity-t,Ridge regularizációt,A
75,Matematikai Alapok,Melyik állítás igaz a maximum likelihood módszerre?,A paraméterértékeknél a likelihood maximumát keresi,Mindig globális minimumot talál,Nem használ veszteségfüggvényt,Kizárólag linerális modellekre igaz,A
76,Matematikai Alapok,Mit mér a Kullback–Leibler divergencia?,Két eloszlás közti eltérést,Adatok közti euklideszi távolságot,Mátrixinverzió pontosságát,Gradiens nagyságát,A
77,Matematikai Alapok,Melyik NEM igaz a centrális határeloszlás tételre?,Korlátozott adatmennyiségnél is mindig működik,Nagy mintáknál normális eloszlást eredményez,Független véletlen változók összegére vonatkozik,Statikus eloszlás,A
78,Matematikai Alapok,Melyik loss függvény tipikus regresszióhoz?,L2-távolság,Cross-entropy,Hinge-loss,Kullback–Leibler divergencia,A
79,Matematikai Alapok,Mit állít a Bayes-tétel?,Posterior a priori és likelihood alapján,Gradient descent szabályát,Decision tree impurity-t,Ridge regularizációt,A
80,Matematikai Alapok,Melyik állítás igaz a maximum likelihood módszerre?,A paraméterértékeknél a likelihood maximumát keresi,Mindig globális minimumot talál,Nem használ veszteségfüggvényt,Kizárólag linerális modellekre igaz,A
81,Matematikai Alapok,Mit mér a Kullback–Leibler divergencia?,Két eloszlás közti eltérést,Adatok közti euklideszi távolságot,Mátrixinverzió pontosságát,Gradiens nagyságát,A
82,Matematikai Alapok,Melyik NEM igaz a centrális határeloszlás tételre?,Korlátozott adatmennyiségnél is mindig működik,Nagy mintáknál normális eloszlást eredményez,Független véletlen változók összegére vonatkozik,Statikus eloszlás,A
83,Matematikai Alapok,Melyik loss függvény tipikus regresszióhoz?,L2-távolság,Cross-entropy,Hinge-loss,Kullback–Leibler divergencia,A
84,Matematikai Alapok,Mit állít a Bayes-tétel?,Posterior a priori és likelihood alapján,Gradient descent szabályát,Decision tree impurity-t,Ridge regularizációt,A
85,Matematikai Alapok,Melyik állítás igaz a maximum likelihood módszerre?,A paraméterértékeknél a likelihood maximumát keresi,Mindig globális minimumot talál,Nem használ veszteségfüggvényt,Kizárólag linerális modellekre igaz,A
86,Matematikai Alapok,Mit mér a Kullback–Leibler divergencia?,Két eloszlás közti eltérést,Adatok közti euklideszi távolságot,Mátrixinverzió pontosságát,Gradiens nagyságát,A
87,Matematikai Alapok,Melyik NEM igaz a centrális határeloszlás tételre?,Korlátozott adatmennyiségnél is mindig működik,Nagy mintáknál normális eloszlást eredményez,Független véletlen változók összegére vonatkozik,Statikus eloszlás,A
88,Matematikai Alapok,Melyik loss függvény tipikus regresszióhoz?,L2-távolság,Cross-entropy,Hinge-loss,Kullback–Leibler divergencia,A
89,Matematikai Alapok,Mit állít a Bayes-tétel?,Posterior a priori és likelihood alapján,Gradient descent szabályát,Decision tree impurity-t,Ridge regularizációt,A
90,Matematikai Alapok,Melyik állítás igaz a maximum likelihood módszerre?,A paraméterértékeknél a likelihood maximumát keresi,Mindig globális minimumot talál,Nem használ veszteségfüggvényt,Kizárólag linerális modellekre igaz,A
91,Matematikai Alapok,Mit mér a Kullback–Leibler divergencia?,Két eloszlás közti eltérést,Adatok közti euklideszi távolságot,Mátrixinverzió pontosságát,Gradiens nagyságát,A
92,Matematikai Alapok,Melyik NEM igaz a centrális határeloszlás tételre?,Korlátozott adatmennyiségnél is mindig működik,Nagy mintáknál normális eloszlást eredményez,Független véletlen változók összegére vonatkozik,Statikus eloszlás,A
93,Matematikai Alapok,Melyik loss függvény tipikus regresszióhoz?,L2-távolság,Cross-entropy,Hinge-loss,Kullback–Leibler divergencia,A
94,Matematikai Alapok,Mit állít a Bayes-tétel?,Posterior a priori és likelihood alapján,Gradient descent szabályát,Decision tree impurity-t,Ridge regularizációt,A
95,Matematikai Alapok,Melyik állítás igaz a maximum likelihood módszerre?,A paraméterértékeknél a likelihood maximumát keresi,Mindig globális minimumot talál,Nem használ veszteségfüggvényt,Kizárólag linerális modellekre igaz,A
96,Matematikai Alapok,Mit mér a Kullback–Leibler divergencia?,Két eloszlás közti eltérést,Adatok közti euklideszi távolságot,Mátrixinverzió pontosságát,Gradiens nagyságát,A
97,Matematikai Alapok,Melyik NEM igaz a centrális határeloszlás tételre?,Korlátozott adatmennyiségnél is mindig működik,Nagy mintáknál normális eloszlást eredményez,Független véletlen változók összegére vonatkozik,Statikus eloszlás,A
98,Matematikai Alapok,Melyik loss függvény tipikus regresszióhoz?,L2-távolság,Cross-entropy,Hinge-loss,Kullback–Leibler divergencia,A
99,Matematikai Alapok,Mit állít a Bayes-tétel?,Posterior a priori és likelihood alapján,Gradient descent szabályát,Decision tree impurity-t,Ridge regularizációt,A
100,Matematikai Alapok,Melyik állítás igaz a maximum likelihood módszerre?,A paraméterértékeknél a likelihood maximumát keresi,Mindig globális minimumot talál,Nem használ veszteségfüggvényt,Kizárólag linerális modellekre igaz,A
101,Feladatvezérelt Tanítás,Melyik lépés NEM része a supervised tanulásnak?,Interferencia,Adatgyűjtés,Annotálás,Modell kiértékelés,A
102,Feladatvezérelt Tanítás,Mi a feladatvezérelt tanítás célja?,Adott címkézés reprodukálása,Modellek tesztelése,Adatok generálása,Hálózat normalizálása,A
103,Feladatvezérelt Tanítás,Melyik adatbázis-felosztás NEM tipikus supervised tanulásnál?,Production,Training,Validation,Testing,A
104,Feladatvezérelt Tanítás,Mi a túlillesztés elkerülésének egyik módja?,Regularizáció,Mindre burn-in futtatás,Teljes adathalmaz használata,Interference,A
105,Feladatvezérelt Tanítás,Milyen loss függvényt alkalmazunk klasszifikációhoz?,Cross-entropy,L2-távolság,Euclidean distance,Hinge-loss,A
106,Feladatvezérelt Tanítás,Melyik lépés NEM része a supervised tanulásnak?,Interferencia,Adatgyűjtés,Annotálás,Modell kiértékelés,A
107,Feladatvezérelt Tanítás,Mi a feladatvezérelt tanítás célja?,Adott címkézés reprodukálása,Modellek tesztelése,Adatok generálása,Hálózat normalizálása,A
108,Feladatvezérelt Tanítás,Melyik adatbázis-felosztás NEM tipikus supervised tanulásnál?,Production,Training,Validation,Testing,A
109,Feladatvezérelt Tanítás,Mi a túlillesztés elkerülésének egyik módja?,Regularizáció,Mindre burn-in futtatás,Teljes adathalmaz használata,Interference,A
110,Feladatvezérelt Tanítás,Milyen loss függvényt alkalmazunk klasszifikációhoz?,Cross-entropy,L2-távolság,Euclidean distance,Hinge-loss,A
111,Feladatvezérelt Tanítás,Melyik lépés NEM része a supervised tanulásnak?,Interferencia,Adatgyűjtés,Annotálás,Modell kiértékelés,A
112,Feladatvezérelt Tanítás,Mi a feladatvezérelt tanítás célja?,Adott címkézés reprodukálása,Modellek tesztelése,Adatok generálása,Hálózat normalizálása,A
113,Feladatvezérelt Tanítás,Melyik adatbázis-felosztás NEM tipikus supervised tanulásnál?,Production,Training,Validation,Testing,A
114,Feladatvezérelt Tanítás,Mi a túlillesztés elkerülésének egyik módja?,Regularizáció,Mindre burn-in futtatás,Teljes adathalmaz használata,Interference,A
115,Feladatvezérelt Tanítás,Milyen loss függvényt alkalmazunk klasszifikációhoz?,Cross-entropy,L2-távolság,Euclidean distance,Hinge-loss,A
116,Feladatvezérelt Tanítás,Melyik lépés NEM része a supervised tanulásnak?,Interferencia,Adatgyűjtés,Annotálás,Modell kiértékelés,A
117,Feladatvezérelt Tanítás,Mi a feladatvezérelt tanítás célja?,Adott címkézés reprodukálása,Modellek tesztelése,Adatok generálása,Hálózat normalizálása,A
118,Feladatvezérelt Tanítás,Melyik adatbázis-felosztás NEM tipikus supervised tanulásnál?,Production,Training,Validation,Testing,A
119,Feladatvezérelt Tanítás,Mi a túlillesztés elkerülésének egyik módja?,Regularizáció,Mindre burn-in futtatás,Teljes adathalmaz használata,Interference,A
120,Feladatvezérelt Tanítás,Milyen loss függvényt alkalmazunk klasszifikációhoz?,Cross-entropy,L2-távolság,Euclidean distance,Hinge-loss,A
121,Feladatvezérelt Tanítás,Melyik lépés NEM része a supervised tanulásnak?,Interferencia,Adatgyűjtés,Annotálás,Modell kiértékelés,A
122,Feladatvezérelt Tanítás,Mi a feladatvezérelt tanítás célja?,Adott címkézés reprodukálása,Modellek tesztelése,Adatok generálása,Hálózat normalizálása,A
123,Feladatvezérelt Tanítás,Melyik adatbázis-felosztás NEM tipikus supervised tanulásnál?,Production,Training,Validation,Testing,A
124,Feladatvezérelt Tanítás,Mi a túlillesztés elkerülésének egyik módja?,Regularizáció,Mindre burn-in futtatás,Teljes adathalmaz használata,Interference,A
125,Feladatvezérelt Tanítás,Milyen loss függvényt alkalmazunk klasszifikációhoz?,Cross-entropy,L2-távolság,Euclidean distance,Hinge-loss,A
126,Feladatvezérelt Tanítás,Melyik lépés NEM része a supervised tanulásnak?,Interferencia,Adatgyűjtés,Annotálás,Modell kiértékelés,A
127,Feladatvezérelt Tanítás,Mi a feladatvezérelt tanítás célja?,Adott címkézés reprodukálása,Modellek tesztelése,Adatok generálása,Hálózat normalizálása,A
128,Feladatvezérelt Tanítás,Melyik adatbázis-felosztás NEM tipikus supervised tanulásnál?,Production,Training,Validation,Testing,A
129,Feladatvezérelt Tanítás,Mi a túlillesztés elkerülésének egyik módja?,Regularizáció,Mindre burn-in futtatás,Teljes adathalmaz használata,Interference,A
130,Feladatvezérelt Tanítás,Milyen loss függvényt alkalmazunk klasszifikációhoz?,Cross-entropy,L2-távolság,Euclidean distance,Hinge-loss,A
131,Feladatvezérelt Tanítás,Melyik lépés NEM része a supervised tanulásnak?,Interferencia,Adatgyűjtés,Annotálás,Modell kiértékelés,A
132,Feladatvezérelt Tanítás,Mi a feladatvezérelt tanítás célja?,Adott címkézés reprodukálása,Modellek tesztelése,Adatok generálása,Hálózat normalizálása,A
133,Feladatvezérelt Tanítás,Melyik adatbázis-felosztás NEM tipikus supervised tanulásnál?,Production,Training,Validation,Testing,A
134,Feladatvezérelt Tanítás,Mi a túlillesztés elkerülésének egyik módja?,Regularizáció,Mindre burn-in futtatás,Teljes adathalmaz használata,Interference,A
135,Feladatvezérelt Tanítás,Milyen loss függvényt alkalmazunk klasszifikációhoz?,Cross-entropy,L2-távolság,Euclidean distance,Hinge-loss,A
136,Feladatvezérelt Tanítás,Melyik lépés NEM része a supervised tanulásnak?,Interferencia,Adatgyűjtés,Annotálás,Modell kiértékelés,A
137,Feladatvezérelt Tanítás,Mi a feladatvezérelt tanítás célja?,Adott címkézés reprodukálása,Modellek tesztelése,Adatok generálása,Hálózat normalizálása,A
138,Feladatvezérelt Tanítás,Melyik adatbázis-felosztás NEM tipikus supervised tanulásnál?,Production,Training,Validation,Testing,A
139,Feladatvezérelt Tanítás,Mi a túlillesztés elkerülésének egyik módja?,Regularizáció,Mindre burn-in futtatás,Teljes adathalmaz használata,Interference,A
140,Feladatvezérelt Tanítás,Milyen loss függvényt alkalmazunk klasszifikációhoz?,Cross-entropy,L2-távolság,Euclidean distance,Hinge-loss,A
141,Feladatvezérelt Tanítás,Melyik lépés NEM része a supervised tanulásnak?,Interferencia,Adatgyűjtés,Annotálás,Modell kiértékelés,A
142,Feladatvezérelt Tanítás,Mi a feladatvezérelt tanítás célja?,Adott címkézés reprodukálása,Modellek tesztelése,Adatok generálása,Hálózat normalizálása,A
143,Feladatvezérelt Tanítás,Melyik adatbázis-felosztás NEM tipikus supervised tanulásnál?,Production,Training,Validation,Testing,A
144,Feladatvezérelt Tanítás,Mi a túlillesztés elkerülésének egyik módja?,Regularizáció,Mindre burn-in futtatás,Teljes adathalmaz használata,Interference,A
145,Feladatvezérelt Tanítás,Milyen loss függvényt alkalmazunk klasszifikációhoz?,Cross-entropy,L2-távolság,Euclidean distance,Hinge-loss,A
146,Feladatvezérelt Tanítás,Melyik lépés NEM része a supervised tanulásnak?,Interferencia,Adatgyűjtés,Annotálás,Modell kiértékelés,A
147,Feladatvezérelt Tanítás,Mi a feladatvezérelt tanítás célja?,Adott címkézés reprodukálása,Modellek tesztelése,Adatok generálása,Hálózat normalizálása,A
148,Feladatvezérelt Tanítás,Melyik adatbázis-felosztás NEM tipikus supervised tanulásnál?,Production,Training,Validation,Testing,A
149,Feladatvezérelt Tanítás,Mi a túlillesztés elkerülésének egyik módja?,Regularizáció,Mindre burn-in futtatás,Teljes adathalmaz használata,Interference,A
150,Feladatvezérelt Tanítás,Milyen loss függvényt alkalmazunk klasszifikációhoz?,Cross-entropy,L2-távolság,Euclidean distance,Hinge-loss,A
151,Klasszifikáció,Mi az accuracy definíciója?,(TP+TN)/(TP+TN+FP+FN),TP/(TP+FP),TP/(TP+FN),FP/(FP+TN),A
152,Klasszifikáció,Mi a precision értelmezése?,TP/(TP+FP),TN/(TN+FP),TP/(TP+FN),FP/(FP+TN),A
153,Klasszifikáció,Mi a recall (sensitivity)?,TP/(TP+FN),TN/(TN+FP),FP/(FP+TN),FN/(FN+TP),A
154,Klasszifikáció,Melyik nem decision tree impurity-mutató?,Levenshtein-distance,Gini-index,Entropy,Misclassification rate,A
155,Klasszifikáció,Mi a random forest alapelve?,Több decision tree többségi szavazással,Egyetlen lineáris modell,Gradient descent alapú,Különálló SVM-ek,A
156,Klasszifikáció,Mi az accuracy definíciója?,(TP+TN)/(TP+TN+FP+FN),TP/(TP+FP),TP/(TP+FN),FP/(FP+TN),A
157,Klasszifikáció,Mi a precision értelmezése?,TP/(TP+FP),TN/(TN+FP),TP/(TP+FN),FP/(FP+TN),A
158,Klasszifikáció,Mi a recall (sensitivity)?,TP/(TP+FN),TN/(TN+FP),FP/(FP+TN),FN/(FN+TP),A
159,Klasszifikáció,Melyik nem decision tree impurity-mutató?,Levenshtein-distance,Gini-index,Entropy,Misclassification rate,A
160,Klasszifikáció,Mi a random forest alapelve?,Több decision tree többségi szavazással,Egyetlen lineáris modell,Gradient descent alapú,Különálló SVM-ek,A
161,Klasszifikáció,Mi az accuracy definíciója?,(TP+TN)/(TP+TN+FP+FN),TP/(TP+FP),TP/(TP+FN),FP/(FP+TN),A
162,Klasszifikáció,Mi a precision értelmezése?,TP/(TP+FP),TN/(TN+FP),TP/(TP+FN),FP/(FP+TN),A
163,Klasszifikáció,Mi a recall (sensitivity)?,TP/(TP+FN),TN/(TN+FP),FP/(FP+TN),FN/(FN+TP),A
164,Klasszifikáció,Melyik nem decision tree impurity-mutató?,Levenshtein-distance,Gini-index,Entropy,Misclassification rate,A
165,Klasszifikáció,Mi a random forest alapelve?,Több decision tree többségi szavazással,Egyetlen lineáris modell,Gradient descent alapú,Különálló SVM-ek,A
166,Klasszifikáció,Mi az accuracy definíciója?,(TP+TN)/(TP+TN+FP+FN),TP/(TP+FP),TP/(TP+FN),FP/(FP+TN),A
167,Klasszifikáció,Mi a precision értelmezése?,TP/(TP+FP),TN/(TN+FP),TP/(TP+FN),FP/(FP+TN),A
168,Klasszifikáció,Mi a recall (sensitivity)?,TP/(TP+FN),TN/(TN+FP),FP/(FP+TN),FN/(FN+TP),A
169,Klasszifikáció,Melyik nem decision tree impurity-mutató?,Levenshtein-distance,Gini-index,Entropy,Misclassification rate,A
